Source,Target,Citation Type,Source Title,Target Title
09_1086,08_1387,cited,Wenkart v Pantzer [2009] FCA 1086 (25 September 2009),Wenkart v Pantzer in the matter of Wenkart [2008] FCA 1387 (16 September 2008)
09_1086,07_1589,cited,Wenkart v Pantzer [2009] FCA 1086 (25 September 2009),In the matter of Thomas Richard Wenkart Wenkart v Pantzer [2007] FCA 1589 (16 October 2007)
09_1086,08_478,cited,Wenkart v Pantzer [2009] FCA 1086 (25 September 2009),In the matter of Thomas Richard Wenkart Wenkart v Pantzer [2008] FCA 478 (11 April 2008)
09_935,09_395,affirmed,SZFQY v Minister for Immigration and Citizenship [2009] FCA 935 (24 August 2009),Australian Competition amp; Consumer Commission v Narnia Investments Pty Ltd [2009] FCA 395 (22 April 2009)
09_935,09_596,cited,SZFQY v Minister for Immigration and Citizenship [2009] FCA 935 (24 August 2009),SZMNP v Minister for Immigration and Citizenship [2009] FCA 596 (4 June 2009)
09_935,07_26,applied,SZFQY v Minister for Immigration and Citizenship [2009] FCA 935 (24 August 2009),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_935,09_712,considered,SZFQY v Minister for Immigration and Citizenship [2009] FCA 935 (24 August 2009),SZMHD v Minister for Immigration and Citizenship [2009] FCA 712 (2 July 2009)
07_1859,07_1011,cited,Australian Competition and Consumer Commission v TEAC Australia Pty Ltd [2007] FCA 1859 (28 November 2007),Australian Competition and Consumer Commission v Knight [2007] FCA 1011 (5 July 2007)
07_1859,07_1617,cited,Australian Competition and Consumer Commission v TEAC Australia Pty Ltd [2007] FCA 1859 (28 November 2007),Australian Competition and Consumer Commission v Visy Industries Holdings Pty Limited (No 3) [2007] FCA 1617 (2 November 2007)
07_1859,06_1027,cited,Australian Competition and Consumer Commission v TEAC Australia Pty Ltd [2007] FCA 1859 (28 November 2007),Australian Competition and Consumer Commission v Cambur (with Corrigendum dated 22 August 2006) [2006] FCA 1027 (11 August 2006)
07_1859,07_79,cited,Australian Competition and Consumer Commission v TEAC Australia Pty Ltd [2007] FCA 1859 (28 November 2007),Australian Competition and Consumer Commission v Jurlique International Pty Ltd [2007] FCA 79 (8 February 2007)
07_1858,07_1091,cited,SZIOF v Minister for Immigration and Citizenship [2007] FCA 1858 (28 November 2007),SZGQZ v Minister for Immigration and Citizenship [2007] FCA 1091 (18 October 2007)
09_1089,06_159,considered,Anabelle Bits Pty Ltd v Fujitsu Ltd (No. 3) [2009] FCA 1089 (25 September 2009),De Groot and Sydney Dive Centre Pty Limited (ACN 109900 898) in the matter of AFIYF Pty Limited (in Liq) (ACN 074864 805) [2006] FCA 159 (24 February 2006)
08_1230,07_26,cited,SZLJW v Minister for Immigration amp; Citizenship [2008] FCA 1230 (14 August 2008),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_938,09_432,cited,SZMXP v Minister for Immigration and Citizenship [2009] FCA 938 (21 August 2009),Ackers v Austcorp International Ltd [2009] FCA 432 (1 May 2009)
07_1871,07_896,cited,Adultshop.Com Ltd v Members of the Classification Review Board [2007] FCA 1871 (29 November 2007),NSW Council for Civil Liberties Inc v Classification Review Board (No. 2) [2007] FCA 896 (14 June 2007)
07_1871,07_20,discussed,Adultshop.Com Ltd v Members of the Classification Review Board [2007] FCA 1871 (29 November 2007),Pull v Minister for Immigration and Multicultural and Indigenous Affairs [2007] FCA 20 (23 January 2007)
07_1870,06_63,considered,SZIOZ v Minister for Immigration and Citizenship [2007] FCA 1870 (30 November 2007),Moore-McQuillan v Scot [2006] FCA 63 (10 February 2006)
09_1092,08_1292,followed,Australian Building and Construction Commissioner v Construction Forestry Mining and Energy Union [2009] FCA 1092 (29 September 2009),Cahill v Construction Forestry Mining and Energy Union (No 2) [2008] FCA 1292 (4 August 2008)
09_1096,08_4,cited,Parkin v OSullivan [2009] FCA 1096 (30 September 2009),Canpoint International Pty Limited v Anar International Pvt Ltd [2008] FCA 4 (16 January 2008)
09_1096,06_125,cited,Parkin v OSullivan [2009] FCA 1096 (30 September 2009),Traljesic v Attorney-General of the Commonwealth of Australia [2006] FCA 125 (9 February 2006)
09_1096,07_56,followed,Parkin v OSullivan [2009] FCA 1096 (30 September 2009),Olivaylle Pty Ltd (ACN 080 670 640) v Flottweg GMBH amp; Co KGAA (ABN 95 101 547 424) [2007] FCA 56 (5 February 2007)
09_1098,07_1565,considered,Brown v Minister for Immigration amp; Citizenship [2009] FCA 1098 (29 September 2009),Ngaronoa v Minister for Immigration amp; Citizenship [2007] FCA 1565 (11 October 2007)
09_1098,08_39,referred_to,Brown v Minister for Immigration amp; Citizenship [2009] FCA 1098 (29 September 2009),Yang v American International Assurance Company (Australia) Ltd [2008] FCA 39 (12 March 2008)
09_1098,07_1318,cited,Brown v Minister for Immigration amp; Citizenship [2009] FCA 1098 (29 September 2009),Minister for Immigration and Citizenship v Le [2007] FCA 1318 (27 August 2007)
07_1844,07_794,cited,Australian Competition amp; Consumer Commission v Leahy Petroleum Pty Ltd [2007] FCA 1844 (27 November 2007),Australian Competition amp; Consumer Commission v Leahy Petroleum Pty Ltd [2007] FCA 794 (29 May 2007)
09_962,09_959,cited,Lennox v Amcor Limited trading as Amcor Cartonboard (No 2) [2009] FCA 962 (25 August 2009),Lennox v Amcor Limited trading as Amcor Cartonboard [2009] FCA 959 (25 August 2009)
07_1841,07_1713,cited,SZKSO v Minister for Immigration amp; Citizenship [2007] FCA 1841 (21 November 2007),SZJHL v Minister for Immigration and Citizenship [2007] FCA 1713 (9 November 2007)
08_1259,08_390,considered,SZFYW v Minister for Immigration amp; Citizenship [2008] FCA 1259 (18 August 2008),SZDFZ v Minister for Immigration amp; Citizenship [2008] FCA 390 (2 April 2008)
09_1062,09_29,affirmed,SZMTQ v Minister for Immigration amp; Citizenship [2009] FCA 1062 (22 September 2009),Tennant Ltd v Uhlen [2009] FCA 29 (16 January 2009)
07_1838,07_1359,considered,SZIOY v Minister for Immigration amp; Citizenship [2007] FCA 1838 (21 November 2007),Inamed Development Company v Morton Surgical Pty Limited [2007] FCA 1359 (29 August 2007)
09_1065,06_949,distinguished,Young v ICM Agriculture Pty Ltd [2009] FCA 1065 (16 September 2009),Silkearl Pty Ltd v Ainsworth Game Technology Ltd [2006] FCA 949 (27 July 2006)
07_1834,07_144,cited,Australian Competition amp; Consumer Commission v Australian Abalone Pty Ltd [2007] FCA 1834 (26 November 2007),Australian Competition and Consumer Commission v IPM Operation and Maintenance Loy Yang Pty Ltd (No 3) [2007] FCA 144 (9 March 2007)
07_1834,07_1617,discussed,Australian Competition amp; Consumer Commission v Australian Abalone Pty Ltd [2007] FCA 1834 (26 November 2007),Australian Competition and Consumer Commission v Visy Industries Holdings Pty Limited (No 3) [2007] FCA 1617 (2 November 2007)
08_1258,06_63,discussed,SZDTM v Minister for Immigration and Citizenship [2008] FCA 1258 (19 August 2008),Moore-McQuillan v Scot [2006] FCA 63 (10 February 2006)
08_1252,07_26,cited,SZJXM v Minister for Immigration and Citizenship (corrigendum 15 September 2008) [2008] FCA 1252 (7 August 2008),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_1075,09_17,cited,Australian Competition and Consumer Commission v Allphones Retail Pty Limited (No 3) [2009] FCA 1075 (23 September 2009),Australian Competition and Consumer Commission v Allphones Retail Pty Ltd (No 2) [2009] FCA 17 (19 January 2009)
09_1075,06_173,followed,Australian Competition and Consumer Commission v Allphones Retail Pty Limited (No 3) [2009] FCA 1075 (23 September 2009),MZWUJ and MZWUK v Minister for Immigration and Multicultural Affairs [2006] FCA 173 (9 March 2006)
09_1075,08_701,followed,Australian Competition and Consumer Commission v Allphones Retail Pty Limited (No 3) [2009] FCA 1075 (23 September 2009),Korean Air Lines v Australian Competition and Consumer Commission (No 3) [2008] FCA 701 (15 May 2008)
09_1075,09_980,cited,Australian Competition and Consumer Commission v Allphones Retail Pty Limited (No 3) [2009] FCA 1075 (23 September 2009),Allphones Retail Pty Limited v Australian Competition and Consumer Commission [2009] FCA 980 (28 August 2009)
09_946,07_26,applied,SZMYG v Minister for Immigration and Citizenship [2009] FCA 946 (19 August 2009),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_946,09_52,considered,SZMYG v Minister for Immigration and Citizenship [2009] FCA 946 (19 August 2009),Cahill v Construction Forestry Mining and Energy Union (No 3) [2009] FCA 52 (5 February 2009)
08_1268,07_435,cited,Australian Workers Union of Employees Queensland v Etheridge Shire Council (corrigendum dated 27 August 2008) [2008] FCA 1268 (20 August 2008),Construction Forestry Mining and Energy Union (Construction amp; General Division) v The Master Builders* Group Training Scheme Inc [2007] FCA 435 (27 March 2007)
08_1268,06_52,followed,Australian Workers Union of Employees Queensland v Etheridge Shire Council (corrigendum dated 27 August 2008) [2008] FCA 1268 (20 August 2008),Richmond Sales Pty Ltd (In Liq) v Robert McDermott [2006] FCA 52 (8 February 2006)
08_1263,08_215,considered,SZLZM v Minister for Immigration amp; Citizenship [2008] FCA 1263 (18 August 2008),Shuster v Minister for Immigration amp; Citizenship [2008] FCA 215 (7 March 2008)
08_1263,08_785,considered,SZLZM v Minister for Immigration amp; Citizenship [2008] FCA 1263 (18 August 2008),La Bara v Minister for Immigration and Citizenship [2008] FCA 785 (28 May 2008)
08_1263,08_1039,considered,SZLZM v Minister for Immigration amp; Citizenship [2008] FCA 1263 (18 August 2008),Asaad v Minister for Immigration and Citizenship [2008] FCA 1039 (14 July 2008)
08_1263,08_28,followed,SZLZM v Minister for Immigration amp; Citizenship [2008] FCA 1263 (18 August 2008),Washington v Hadgkiss [2008] FCA 28 (29 January 2008)
08_1263,08_502,followed,SZLZM v Minister for Immigration amp; Citizenship [2008] FCA 1263 (18 August 2008),SZIBR v Minister for Immigration and Citizenship [2008] FCA 502 (21 April 2008)
09_949,07_1485,referred_to,Medrad Inc v Alpine Medical Pty Ltd [2009] FCA 949 (25 August 2009),GenRx Pty Ltd v Sanofi-Aventis [2007] FCA 1485 (21 September 2007)
09_949,09_595,cited,Medrad Inc v Alpine Medical Pty Ltd [2009] FCA 949 (25 August 2009),Sigma Pharmaceuticals (Australia) Pty Ltd (ACN 004 118 594) v Wyeth [2009] FCA 595 (3 June 2009)
09_500,08_1008,referred_to,Australian amp; International Pilots Association v Qantas Airways Limited [2009] FCA 500 (27 April 2009),Smart Company Pty Ltd v Clipsal Australia Pty Ltd [2008] FCA 1008 (3 July 2008)
09_500,08_1972,referred_to,Australian amp; International Pilots Association v Qantas Airways Limited [2009] FCA 500 (27 April 2009),Australian amp; International Pilots Association v Qantas Airways Limited (ACN 009 661 901) [2008] FCA 1972 (23 December 2008)
09_980,06_228,referred_to,Allphones Retail Pty Limited v Australian Competition and Consumer Commission [2009] FCA 980 (28 August 2009),Monsanto Company v Syngenta Seeds Pty Ltd [2006] FCA 228 (17 March 2006)
09_980,06_12,cited,Allphones Retail Pty Limited v Australian Competition and Consumer Commission [2009] FCA 980 (28 August 2009),Rush v Commissioner of Police [2006] FCA 12 (23 January 2006)
09_980,08_88,cited,Allphones Retail Pty Limited v Australian Competition and Consumer Commission [2009] FCA 980 (28 August 2009),Cadbury Schweppes Pty Ltd (ACN 004 551 473) v Amcor Limited (ACN 000 017 372) [2008] FCA 88 (19 February 2008)
09_1040,09_299,cited,Cahill v Construction Forestry Mining and Energy Union (No 4) [2009] FCA 1040 (16 September 2009),Duffy v Construction Forestry Mining amp; Energy Union (No 2) [2009] FCA 299 (31 March 2009)
09_1040,08_714,discussed,Cahill v Construction Forestry Mining and Energy Union (No 4) [2009] FCA 1040 (16 September 2009),Temple v Powell [2008] FCA 714 (23 May 2008)
09_1040,08_107,cited,Cahill v Construction Forestry Mining and Energy Union (No 4) [2009] FCA 1040 (16 September 2009),A V Jennings Ltd ACN 004 601 503 v Bogdan [2008] FCA 107 (21 February 2008)
09_1040,08_466,cited,Cahill v Construction Forestry Mining and Energy Union (No 4) [2009] FCA 1040 (16 September 2009),A amp; L Silvestri Pty Limited v Construction Forestry Mining and Energy Union [2008] FCA 466 (11 April 2008)
09_1040,09_243,cited,Cahill v Construction Forestry Mining and Energy Union (No 4) [2009] FCA 1040 (16 September 2009),Draffin v Construction Forestry Mining and Energy Union [2009] FCA 243 (17 March 2009)
09_1040,07_11,cited,Cahill v Construction Forestry Mining and Energy Union (No 4) [2009] FCA 1040 (16 September 2009),Australian Competition and Consumer Commission v IPM Operation and Maintenance Loy Yang Pty Ltd (No 2) [2007] FCA 11 (16 January 2007)
08_1279,08_1263,considered,SZLQW v Minister for Immigration and Citizenship [2008] FCA 1279 (19 August 2008),SZLZM v Minister for Immigration amp; Citizenship [2008] FCA 1263 (18 August 2008)
08_1279,06_63,followed,SZLQW v Minister for Immigration and Citizenship [2008] FCA 1279 (19 August 2008),Moore-McQuillan v Scot [2006] FCA 63 (10 February 2006)
08_1279,08_1,followed,SZLQW v Minister for Immigration and Citizenship [2008] FCA 1279 (19 August 2008),Rivera v Minister for Home Affairs [2008] FCA 1 (4 January 2008)
08_1279,08_782,cited,SZLQW v Minister for Immigration and Citizenship [2008] FCA 1279 (19 August 2008),SZLHA v Minister for Immigration amp; Citizenship [2008] FCA 782 (28 May 2008)
08_1270,07_26,followed,SZLXI v Minister for Immigration and Citizenship [2008] FCA 1270 (21 August 2008),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_972,09_237,cited,Australian Competition and Consumer Commission v Craftmatic Australia Pty Ltd [2009] FCA 972 (28 August 2009),Wide Bay Conservation Council Inc v Burnett Water Pty Ltd (No 2) [2009] FCA 237 (18 March 2009)
09_1050,07_22,applied,Rana v Musolino [2009] FCA 1050 (18 September 2009),Baxendales Vineyard Pty Ltd v The Geographical Indications Committee [2007] FCA 22 (25 January 2007)
09_1050,06_434,cited,Rana v Musolino [2009] FCA 1050 (18 September 2009),Rogers v Asset Loan Co Pty Ltd amp; Ors [2006] FCA 434 (20 April 2006)
09_1050,08_35,cited,Rana v Musolino [2009] FCA 1050 (18 September 2009),Fitzpatrick v Keelty [2008] FCA 35 (31 January 2008)
09_968,08_1814,followed,SZNHV v Minister for Immigration and Citizenship [2009] FCA 968 (21 August 2009),SZKCE v Minister for Immigration and Citizenship [2008] FCA 1814 (1 December 2008)
09_966,06_724,followed,Khanam v Minister for Immigration and Citizenship [2009] FCA 966 (27 August 2009),SZEJF v Minister for Immigration amp; Multicultural amp; Indigenous Affairs [2006] FCA 724 (9 June 2006)
09_966,06_1601,cited,Khanam v Minister for Immigration and Citizenship [2009] FCA 966 (27 August 2009),SZFNK v Minister for Immigration amp; Multicultural Affairs [2006] FCA 1601 (14 November 2006)
09_966,07_9,cited,Khanam v Minister for Immigration and Citizenship [2009] FCA 966 (27 August 2009),SZCBT v Minister for Immigration and Multicultural Affairs [2007] FCA 9 (12 January 2007)
07_1429,07_583,cited,Rawley Pty Ltd ACN 009 027 454 v Bell (No 3) [2007] FCA 1429 (12 September 2007),Rawley Pty Ltd ACN 009 027 454 v Bell (No 2)(Corrigendum dated 20 June 2007) [2007] FCA 583 (26 April 2007)
09_1057,06_1829,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Abrahams v Comcare [2006] FCA 1829 (6 December 2006)
09_1057,08_393,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Comcare v Davies [2008] FCA 393 (27 March 2008)
09_1057,09_260,affirmed,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),McBain (Trustee) in the matter of Turner (Bankrupt) v Palffy [2009] FCA 260 (24 March 2009)
09_1057,07_26,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_1057,07_47,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Lang v Comcare [2007] FCA 47 (6 February 2007)
09_1057,06_779,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Secretary Department of Employment amp; Workplace Relations v Homewood [2006] FCA 779 (21 June 2006)
09_1057,07_404,applied,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Harris v Secretary Department of Employment and Workplace Relations [2007] FCA 404 (22 March 2007)
09_1057,09_302,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Defence Force Retirement and Death Benefits Authority v House [2009] FCA 302 (1 April 2009)
09_1057,08_236,cited,Australian Postal Corporation v Hughes [2009] FCA 1057 (21 September 2009),Australian Postal Corporation v Sellick [2008] FCA 236 (7 March 2008)
09_963,07_38,applied,Minister for Immigration amp; Citizenship v Abdul Manaf [2009] FCA 963 (31 August 2009),Visible Results Properties Inc v Sushi Train (Australia) Pty Limited (Corrigendum dated 11 April 2007) [2007] FCA 38 (7 February 2007)
09_1058,09_399,discussed,Eat Media Pty Ltd v Mulready Media Pty Ltd [2009] FCA 1058 (21 September 2009),Consolidated Byrnes Holdings Limited ACN 111 052 585 v Hardel Investments Pty Limited ACN 083 276 000 [2009] FCA 399 (29 April 2009)
09_1058,06_9,cited,Eat Media Pty Ltd v Mulready Media Pty Ltd [2009] FCA 1058 (21 September 2009),Commissioner of Taxation v Hornibrook [2006] FCA 9 (20 January 2006)
09_1058,09_71,cited,Eat Media Pty Ltd v Mulready Media Pty Ltd [2009] FCA 1058 (21 September 2009),Pakula Tackle Australia Pty Ltd v Zacatak Lures Australia Pty Limited (corrigendum 3 March 2009) [2009] FCA 71 (11 February 2009)
09_1058,08_872,cited,Eat Media Pty Ltd v Mulready Media Pty Ltd [2009] FCA 1058 (21 September 2009),Tervonen v Minister for Home Affairs (No 2) [2008] FCA 872 (12 June 2008)
08_1280,07_2012,affirmed,SZKNB v Minister for Immigration amp; Citizenship [2008] FCA 1280 (20 August 2008),Ollis v Rayner [2007] FCA 2012 (19 December 2007)
08_1280,07_26,considered,SZKNB v Minister for Immigration amp; Citizenship [2008] FCA 1280 (20 August 2008),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
08_1283,07_511,followed,Interpharma Pty Ltd v Commissioner of Patents [2008] FCA 1283 (21 August 2008),White Industries Aust Ltd v Commissioner of Taxation (includes corrigendum dated 16 April 2007) [2007] FCA 511 (11 April 2007)
08_719,06_83,referred_to,Peter Hanne amp; Associates Pty Ltd v Village Life Limited [2008] FCA 719 (22 May 2008),Louis Vuitton Malletier SA v Design Elegance Pty Ltd [2006] FCA 83 (14 February 2006)
08_712,07_26,applied,SBRF v Minister for Immigration and Citizenship [2008] FCA 712 (21 May 2008),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
08_712,06_63,cited,SBRF v Minister for Immigration and Citizenship [2008] FCA 712 (21 May 2008),Moore-McQuillan v Scot [2006] FCA 63 (10 February 2006)
08_712,07_1100,cited,SBRF v Minister for Immigration and Citizenship [2008] FCA 712 (21 May 2008),SZHLM v Minister for Immigration and Citizenship [2007] FCA 1100 (23 October 2007)
09_522,08_572,cited,Olivaylle Pty Ltd v Flottweg GMBH amp; Co KGAA (No 4) [2009] FCA 522 (20 May 2009),Olivaylle Pty Limited v Flottweg GMBH amp; Co KGAA (No 3) [2008] FCA 572 (4 April 2008)
08_711,07_1785,referred_to,Lowe v Mack Trucks Australia Pty Limited (No 2) [2008] FCA 711 (21 May 2008),Xat Ky v Australvic Property Management Pty Ltd (No 2) [2007] FCA 1785 (22 November 2007)
09_521,06_55,cited,Luck v University of Southern Queensland [2009] FCA 521 (7 May 2009),MZWXD v Minister for Immigration amp; Multicultural amp; Indigenous Affairs [2006] FCA 55 (30 January 2006)
08_714,07_1873,considered,Temple v Powell [2008] FCA 714 (23 May 2008),Australian Securities amp; Investments Commission v Citrofresh International Ltd (ACN 064 551 426) [2007] FCA 1873 (30 November 2007)
07_1400,07_1357,cited,Pascoe in the matter of Hudson [2007] FCA 1400 (30 August 2007),Worimi Local Aboriginal Land Council v Minister for Lands for New South Wales [2007] FCA 1357 (11 September 2007)
08_716,08_61,followed,SZLRL v Minister for Immigration amp; Citizenship [2008] FCA 716 (20 May 2008),In the matter of Ox Operations Pty Ltd (ACN 119 184 431) [2008] FCA 61 (11 February 2008)
08_717,08_61,followed,SZLQZ v Minister for Immigration amp; Citizenship [2008] FCA 717 (20 May 2008),In the matter of Ox Operations Pty Ltd (ACN 119 184 431) [2008] FCA 61 (11 February 2008)
07_907,07_26,cited,Jiang v Minister for Immigration amp; Citizenship [2007] FCA 907 (15 June 2007),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
07_907,06_1229,distinguished,Jiang v Minister for Immigration amp; Citizenship [2007] FCA 907 (15 June 2007),Tran v Minister for Immigration amp; Multicultural Affairs [2006] FCA 1229 (12 September 2006)
07_907,07_488,followed,Jiang v Minister for Immigration amp; Citizenship [2007] FCA 907 (15 June 2007),Wang v Minister for Immigration and Citizenship [2007] FCA 488 (4 April 2007)
07_907,07_71,cited,Jiang v Minister for Immigration amp; Citizenship [2007] FCA 907 (15 June 2007),Bahonko v Nurses Board of Australia [2007] FCA 71 (1 February 2007)
07_907,06_167,applied,Jiang v Minister for Immigration amp; Citizenship [2007] FCA 907 (15 June 2007),MZXAF v Minister for Immigration amp; Multicultural amp; Indigenous Affairs [2006] FCA 167 (21 April 2006)
07_907,06_587,cited,Jiang v Minister for Immigration amp; Citizenship [2007] FCA 907 (15 June 2007),SZGPB v Minister for Immigration amp; Multicultural amp; Indigenous Affairs (No 2) [2006] FCA 587 (20 April 2006)
09_516,07_2008,followed,Vernon v Village Life Ltd [2009] FCA 516 (12 May 2009),Taylor v Telstra Corporation Ltd [2007] FCA 2008 (13 December 2007)
09_516,07_200,followed,Vernon v Village Life Ltd [2009] FCA 516 (12 May 2009),Natural Waters of Viti Limited v Dayals (Fiji) Artesian Waters Limited [2007] FCA 200 (27 February 2007)
08_1299,06_63,cited,SZHBP v Minister for Immigration and Citizenship [2008] FCA 1299 (21 August 2008),Moore-McQuillan v Scot [2006] FCA 63 (10 February 2006)
08_1299,06_55,cited,SZHBP v Minister for Immigration and Citizenship [2008] FCA 1299 (21 August 2008),MZWXD v Minister for Immigration amp; Multicultural amp; Indigenous Affairs [2006] FCA 55 (30 January 2006)
08_1299,07_26,cited,SZHBP v Minister for Immigration and Citizenship [2008] FCA 1299 (21 August 2008),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
09_515,06_102,referred_to,Swee Yen Tay v Migration Review Tribunal [2009] FCA 515 (19 May 2009),Gidley in the matter of Aliance Motor Body Pty Limited (Subject to Deed of Company Arrangeme [2006] FCA 102 (16 February 2006)
09_515,06_1222,referred_to,Swee Yen Tay v Migration Review Tribunal [2009] FCA 515 (19 May 2009),Purchas in the matter of Estore Pty Limited (in liq) [2006] FCA 1222 (8 September 2006)
09_1024,07_1449,applied,Croker v TAFE Commission [2009] FCA 1024 (14 September 2009),Bahonko v Nurses Board of Victoria (No 4) [2007] FCA 1449 (14 September 2007)
09_1027,07_27,discussed,Egglishaw v Australian Crime Commission (No 3) [2009] FCA 1027 (14 September 2009),Oke v Commissioner of the Australian Federal Police [2007] FCA 27 (25 January 2007)
09_1027,09_119,discussed,Egglishaw v Australian Crime Commission (No 3) [2009] FCA 1027 (14 September 2009),A. B. Pty Limited v Australian Crime Commission [2009] FCA 119 (19 February 2009)
09_1027,09_759,followed,Egglishaw v Australian Crime Commission (No 3) [2009] FCA 1027 (14 September 2009),GG v Australian Crime Commission [2009] FCA 759 (20 July 2009)
09_1027,07_16,discussed,Egglishaw v Australian Crime Commission (No 3) [2009] FCA 1027 (14 September 2009),CC Pty Ltd v Australian Crime Commission (No 2) [2007] FCA 16 (25 January 2007)
09_1027,09_642,followed,Egglishaw v Australian Crime Commission (No 3) [2009] FCA 1027 (14 September 2009),AA v Board of the Australian Crime Commission [2009] FCA 642 (22 June 2009)
08_1292,08_714,discussed,Cahill v Construction Forestry Mining and Energy Union (No 2) [2008] FCA 1292 (4 August 2008),Temple v Powell [2008] FCA 714 (23 May 2008)
08_1293,06_814,discussed,Elliot v Secretary Department of Education Employment and Workplace Relations [2008] FCA 1293 (20 August 2008),Australian Securities and Investments Commission Inthe Matter of Richstar Enterprises Pty Ltd (ACN 099 071 968) v Carey (No 6) [2006] FCA 814 (29 June 2006)
07_903,07_489,referred_to,Jianshe Southern Pty Ltd (ACN 007 031 905) v Turnbull Cooktown Pty Ltd (ACN 069 894 275) (No 2) [2007] FCA 903 (14 June 2007),Jianshe Southern Pty Ltd (ACN 007 031 905) v Turnbull Cooktown Pty Ltd (ACN 069 894 275) [2007] FCA 489 (4 April 2007)
08_708,08_105,cited,SZJMY v Minister for Immigration amp; Citizenship [2008] FCA 708 (20 May 2008),Secretary Department of Education Employment amp; Workplace Relations v Holmes (includes corrigendum dated 20 February 2008) [2008] FCA 105 (20 February 2008)
